Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
acs.nanolett.9b04246-C16-7,CCCCCCCCCCCCCCC(O)CN(CCN2CCN(CC1(CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CCCCC1)CC2)CC3(CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CCCCC3,0,35,46.5,16,2.5
acs.nanolett.9b04246-C16-8,OC(CCCCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCCCC)C1CCC(N(CC2)CCN2CCN(CC(O)CCCCCCCCCCCCCC)C3CCC(N(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CC3)CC1,0,35,46.5,16,2.5
adfm200900519-NA98,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0,100,0,0,0
adfm200900519-NA100,CCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0,100,0,0,0
adfm200900519-NA110,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1,100,0,0,0
adfm200900519-NA111,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1,100,0,0,0
adfm200900519-NA112,CCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1,100,0,0,0
adfm200900519-NA114,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1,100,0,0,0
adfm200900519-NA115,CCCCCCCCCCCCN(CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,1,100,0,0,0
adfm200900519-NA116,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)[C@@H]1CCCC[C@H]1N(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0,100,0,0,0
